Codigo,Descricao,Quantidade,Valor,Mes,Ano,Categoria
999,TRILHO ESCONDIDO FECHAMENTO NORMAL EP CP 300MM,10.0,115.5,9,2017,Corrediça Oculta
999,TRILHO ESCONDIDO FECHAMENTO NORMAL EP CP 300MM,65.0,544.8,8,2023,Corrediça Oculta
999,TRILHO ESCONDIDO FECHAMENTO NORMAL EP CP 300MM,12.0,138.6,3,2018,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,35.0,1423.18,11,2019,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,3.0,102.32,11,2018,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,6.0,225.72,11,2017,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,10.0,277.75,10,2019,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,4.0,153.14,9,2018,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,4.0,137.13,8,2019,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,2.0,69.6,8,2018,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,8.0,334.8,8,2017,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,14.0,438.86,7,2019,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,10.0,326.7,7,2018,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,40.0,1306.8,6,2018,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,2.0,75.58,4,2020,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,10.0,430.87,4,2018,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,30.0,767.91,3,2020,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,12.0,460.68,2,2018,Corrediça Oculta
998,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 550MM,10.0,365.42,1,2020,Corrediça Oculta
997,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 500MM,50.0,1980.74,12,2019,Corrediça Oculta
997,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 500MM,10.0,288.09,12,2017,Corrediça Oculta
997,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 500MM,224.0,8349.23,11,2019,Corrediça Oculta
997,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 500MM,75.0,3344.58,11,2018,Corrediça Oculta
997,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 500MM,34.0,1049.87,11,2017,Corrediça Oculta
997,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 500MM,140.0,4755.08,10,2019,Corrediça Oculta
997,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 500MM,57.0,2324.35,10,2018,Corrediça Oculta
997,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 500MM,260.0,8362.53,10,2017,Corrediça Oculta
997,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 500MM,50.0,1842.18,9,2019,Corrediça Oculta
997,TRILHO ESCONDIDO ABERTURA TOQUE ET CC 500MM,20.0,743.82,9,2018,Corrediça Oculta
